theta,x,y,alpha,beta,a,b,l,lp,abs(l-lp),
2.29336,-0.809314,0.917987,0.111874,3.75228,-1.42867,-0.23826,1.25556,1.25549,6.93859e-05,
2.30383,-0.819861,0.910548,0.111107,3.76352,-1.39503,-0.233185,1.25512,1.25507,5.46214e-05,
2.31431,-0.830331,0.902978,0.110319,3.77478,-1.36237,-0.228243,1.25467,1.25463,4.08391e-05,
2.32478,-0.840722,0.895278,0.109513,3.78606,-1.33065,-0.223427,1.2542,1.25417,2.80333e-05,
2.33525,-0.851033,0.887449,0.108687,3.79736,-1.29981,-0.218731,1.25372,1.2537,1.6198e-05,
2.34572,-0.861262,0.879492,0.107842,3.80868,-1.26981,-0.214149,1.25322,1.25322,5.32731e-06,
2.35619,-0.871408,0.871408,0.106979,3.82001,-1.24062,-0.209675,1.25272,1.25272,4.58499e-06,
2.36667,-0.881468,0.863198,0.106096,3.83137,-1.21218,-0.205305,1.2522,1.25221,1.35452e-05,
2.37714,-0.891443,0.854863,0.105194,3.84274,-1.18448,-0.201033,1.25167,1.25169,2.15596e-05,
2.38761,-0.901329,0.846405,0.104274,3.85413,-1.15747,-0.196854,1.25114,1.25116,2.86349e-05,
2.39808,-0.911126,0.837824,0.103335,3.86554,-1.13112,-0.192765,1.25059,1.25063,3.47776e-05,
2.40855,-0.920833,0.829121,0.102377,3.87697,-1.10539,-0.188762,1.25004,1.25008,3.99944e-05,
2.41903,-0.930446,0.820299,0.101402,3.88842,-1.08028,-0.18484,1.24949,1.24953,4.42924e-05,
2.4295,-0.939966,0.811357,0.100408,3.89989,-1.05573,-0.180996,1.24893,1.24898,4.76783e-05,
2.43997,-0.949391,0.802298,0.0993962,3.91137,-1.03174,-0.177226,1.24837,1.24842,5.01592e-05,
2.45044,-0.958719,0.793121,0.0983664,3.92287,-1.00827,-0.173528,1.2478,1.24786,5.17423e-05,
2.46091,-0.967949,0.78383,0.097319,3.93439,-0.985307,-0.169897,1.24724,1.24729,5.24348e-05,
2.47139,-0.97708,0.774424,0.0962539,3.94593,-0.962824,-0.166332,1.24667,1.24672,5.2244e-05,
2.48186,-0.986109,0.764905,0.0951713,3.95748,-0.940802,-0.162829,1.24611,1.24616,5.11773e-05,
2.49233,-0.995037,0.755274,0.0940715,3.96905,-0.919222,-0.159386,1.24554,1.24559,4.92422e-05,
2.5028,-1.00386,0.745533,0.0929545,3.98064,-0.898065,-0.156,1.24498,1.24502,4.64461e-05,
2.51327,-1.01258,0.735683,0.0918205,3.99225,-0.877314,-0.152668,1.24442,1.24446,4.27968e-05,
2.52375,-1.02119,0.725725,0.0906697,4.00387,-0.856952,-0.149389,1.24386,1.2439,3.83018e-05,
2.53422,-1.0297,0.71566,0.0895022,4.01551,-0.836963,-0.146161,1.24331,1.24334,3.29688e-05,
2.54469,-1.0381,0.70549,0.0883182,4.02717,-0.817333,-0.142981,1.24276,1.24279,2.68057e-05,
2.55516,-1.04639,0.695217,0.0871178,4.03884,-0.798046,-0.139847,1.24223,1.24225,1.98203e-05,
2.56563,-1.05456,0.68484,0.0859013,4.05053,-0.779089,-0.136758,1.24169,1.24171,1.20205e-05,
2.57611,-1.06263,0.674363,0.0846688,4.06223,-0.76045,-0.133711,1.24117,1.24117,3.41421e-06,
2.58658,-1.07058,0.663786,0.0834204,4.07395,-0.742114,-0.130705,1.24066,1.24065,5.99062e-06,
2.59705,-1.07841,0.65311,0.0821564,4.08569,-0.724071,-0.127738,1.24015,1.24013,1.6186e-05,
2.60752,-1.08613,0.642337,0.0808769,4.09744,-0.706309,-0.124808,1.23966,1.23963,2.71638e-05,
2.61799,-1.09374,0.631469,0.0795822,4.10921,-0.688817,-0.121915,1.23917,1.23913,3.8916e-05,
2.62847,-1.10122,0.620507,0.0782723,4.12099,-0.671584,-0.119056,1.2387,1.23865,5.14344e-05,
2.63894,-1.10859,0.609451,0.0769475,4.13279,-0.6546,-0.116231,1.23824,1.23818,6.47109e-05,
2.64941,-1.11583,0.598305,0.075608,4.1446,-0.637856,-0.113437,1.2378,1.23772,7.87374e-05,
2.65988,-1.12296,0.587069,0.074254,4.15642,-0.621343,-0.110673,1.23737,1.23728,9.35056e-05,
2.67035,-1.12996,0.575744,0.0728856,4.16826,-0.60505,-0.107939,1.23696,1.23685,0.000109007,
2.68083,-1.13675,0.564288,0.0714919,4.18013,-0.588955,-0.105207,1.23641,1.2365,9.60633e-05,
2.6913,-1.14342,0.552749,0.0700848,4.19201,-0.573066,-0.102504,1.23588,1.23596,7.64049e-05,
2.70177,-1.14996,0.541128,0.0686645,4.2039,-0.557375,-0.099828,1.23537,1.23543,5.60883e-05,
2.71224,-1.15637,0.529427,0.0672312,4.21581,-0.541873,-0.097178,1.23488,1.23492,3.51217e-05,
2.72271,-1.16266,0.517648,0.0657852,4.22772,-0.526554,-0.0945529,1.23442,1.23443,1.35129e-05,
2.73319,-1.16881,0.505791,0.0643265,4.23966,-0.51141,-0.0919517,1.23397,1.23396,8.72983e-06,
2.74366,-1.17484,0.493859,0.0628555,4.2516,-0.496434,-0.0893733,1.23355,1.23352,3.15986e-05,
2.75413,-1.18074,0.481852,0.0613724,4.26355,-0.48162,-0.0868167,1.23315,1.23309,5.50852e-05,
2.7646,-1.18651,0.469773,0.0598773,4.27552,-0.46696,-0.0842808,1.23277,1.23269,7.91818e-05,
2.77507,-1.19215,0.457623,0.0583704,4.2875,-0.45245,-0.0817648,1.23242,1.23231,0.00010388,
2.78555,-1.19756,0.445369,0.0568432,4.2995,-0.438072,-0.0792488,1.23194,1.23204,9.20384e-05,
2.79602,-1.20284,0.433049,0.0553052,4.31151,-0.423831,-0.0767522,1.2315,1.23156,6.35554e-05,
2.80649,-1.20798,0.420664,0.0537567,4.32353,-0.409723,-0.0742741,1.23108,1.23112,3.45473e-05,
2.81696,-1.21299,0.408218,0.0521979,4.33556,-0.395741,-0.0718135,1.23069,1.2307,5.02164e-06,
2.82743,-1.21787,0.39571,0.0506291,4.3476,-0.381879,-0.0693696,1.23033,1.23031,2.5014e-05,
2.83791,-1.22261,0.383143,0.0490503,4.35965,-0.368134,-0.0669415,1.23,1.22994,5.55521e-05,
2.84838,-1.22721,0.370517,0.0474619,4.37171,-0.354499,-0.0645283,1.2297,1.22961,8.6585e-05,
2.85885,-1.23158,0.357808,0.0458569,4.38379,-0.340962,-0.0621147,1.22928,1.22939,0.000103072,
2.86932,-1.23582,0.345046,0.0442433,4.39587,-0.327526,-0.0597156,1.2289,1.22897,6.85472e-05,
2.87979,-1.23991,0.332233,0.0426213,4.40797,-0.314187,-0.0573303,1.22856,1.22859,3.36041e-05,
2.89027,-1.24387,0.319371,0.0409911,4.42007,-0.30094,-0.054958,1.22824,1.22824,1.75038e-06,
2.90074,-1.24769,0.306461,0.0393529,4.43218,-0.28778,-0.0525979,1.22796,1.22792,3.75094e-05,
2.91121,-1.25136,0.293505,0.037707,4.4443,-0.274703,-0.0502493,1.22772,1.22764,7.36659e-05,
2.92168,-1.2549,0.280504,0.0360536,4.45642,-0.261706,-0.0479112,1.2275,1.22739,0.000110213,
2.93215,-1.2582,0.267439,0.0343875,4.46856,-0.248777,-0.0455723,1.22719,1.22726,7.40287e-05,
2.94263,-1.26136,0.254335,0.0327149,4.48071,-0.235919,-0.0432438,1.22691,1.22694,3.42842e-05,
2.9531,-1.26438,0.241194,0.0310361,4.49286,-0.223128,-0.0409249,1.22667,1.22666,5.77573e-06,
2.96357,-1.26726,0.228016,0.0293511,4.50501,-0.210399,-0.0386147,1.22646,1.22641,4.61449e-05,
2.97404,-1.27,0.214804,0.0276604,4.51718,-0.19773,-0.0363127,1.22629,1.22621,8.68169e-05,
2.98451,-1.27249,0.201543,0.02596,4.52935,-0.185112,-0.0340101,1.22603,1.22612,9.34008e-05,
2.99498,-1.27485,0.188253,0.0242548,4.54153,-0.172545,-0.0317152,1.2258,1.22585,4.97643e-05,
3.00546,-1.27706,0.174935,0.022545,4.55371,-0.160026,-0.0294274,1.22561,1.22562,5.89851e-06,
3.01593,-1.27913,0.161591,0.0208308,4.56589,-0.147552,-0.0271459,1.22547,1.22543,3.81912e-05,
3.0264,-1.28105,0.148223,0.0191125,4.57808,-0.135118,-0.02487,1.22536,1.22528,8.24991e-05,
3.03687,-1.28274,0.134821,0.0173876,4.59028,-0.122718,-0.0225936,1.22516,1.22526,9.41922e-05,
3.04734,-1.28428,0.1214,0.0156594,4.60248,-0.110352,-0.0203226,1.225,1.22505,4.71494e-05,
3.05782,-1.28568,0.107962,0.0139284,4.61468,-0.0980163,-0.018056,1.22489,1.22489,4.0102e-08,
3.06829,-1.28694,0.0945069,0.0121946,4.62689,-0.0857074,-0.0157933,1.22481,1.22476,4.73716e-05,
3.07876,-1.28805,0.0810375,0.0104583,4.6391,-0.0734217,-0.0135336,1.22478,1.22468,9.48404e-05,
3.08923,-1.28893,0.0675497,0.00871838,4.65131,-0.0611543,-0.0112736,1.22466,1.22473,7.88129e-05,
3.0997,-1.28966,0.0540526,0.00697692,4.66352,-0.0489038,-0.00901641,1.22458,1.2246,2.8834e-05,
3.11018,-1.29024,0.0405475,0.00523415,4.67574,-0.0366665,-0.00676116,1.22454,1.22452,2.12129e-05,
3.12065,-1.29069,0.0270361,0.00349026,4.68795,-0.0244391,-0.00450716,1.22455,1.22448,7.13238e-05,
3.13112,-1.29089,0.0135187,0.00174521,4.70017,-0.0122178,-0.00225316,1.22447,1.22457,9.98027e-05,
3.14159,-1.29095,2.65298e-14,3.42487e-15,4.71239,-2.41645e-14,-4.66543e-15,1.20534,1.20539,4.84335e-05,
-1.73205
