theta,x,y,alpha,beta,a,b,l,lp,abs(l-lp),
1.02625,0.544925,0.899778,0.0943687,2.50268,1.34616,0.166221,1.25636,1.25647,0.000107367,
1.03673,0.536023,0.906366,0.0951525,2.51237,1.37377,0.169995,1.25679,1.25672,7.17813e-05,
1.0472,0.527037,0.912856,0.0959265,2.52207,1.40215,0.173872,1.25716,1.25714,2.59424e-05,
1.05767,0.517969,0.919247,0.0966905,2.53178,1.43134,0.177858,1.25747,1.25749,1.94334e-05,
1.06814,0.50882,0.92554,0.0974444,2.54149,1.46138,0.181958,1.25773,1.2578,6.43406e-05,
1.07861,0.499591,0.931733,0.098188,2.55122,1.49233,0.186178,1.25794,1.25804,0.000108774,
1.08909,0.490329,0.937912,0.0989397,2.56094,1.52416,0.190573,1.25835,1.25828,6.98326e-05,
1.09956,0.480987,0.943991,0.099681,2.57067,1.55698,0.195101,1.25871,1.25869,2.34258e-05,
1.11003,0.471567,0.949966,0.100412,2.58041,1.59086,0.199771,1.25901,1.25904,2.24873e-05,
1.1205,0.46207,0.955837,0.101132,2.59017,1.62583,0.204589,1.25926,1.25933,6.79013e-05,
1.13097,0.452539,0.961694,0.10186,2.59991,1.6619,0.209618,1.25971,1.2596,0.000109785,
1.14145,0.442931,0.967445,0.102577,2.60966,1.69921,0.214813,1.26011,1.26005,6.2435e-05,
1.15192,0.433248,0.97309,0.103283,2.61943,1.73781,0.220187,1.26045,1.26043,1.56048e-05,
1.16239,0.42349,0.978627,0.103977,2.62921,1.7778,0.225748,1.26073,1.26076,3.07004e-05,
1.17286,0.413659,0.984056,0.104661,2.639,1.81925,0.231508,1.26095,1.26103,7.64754e-05,
1.18333,0.403795,0.989469,0.105352,2.64878,1.86216,0.237537,1.26139,1.26128,0.000100922,
1.19381,0.393858,0.994771,0.106032,2.65857,1.90673,0.243792,1.26176,1.2617,5.32454e-05,
1.20428,0.383849,0.999962,0.1067,2.66837,1.95304,0.250288,1.26207,1.26206,6.12025e-06,
1.21475,0.373771,1.00504,0.107355,2.67819,2.00123,0.25704,1.26232,1.26237,4.04483e-05,
1.22522,0.363625,1.01001,0.107999,2.68802,2.0514,0.264066,1.26252,1.26261,8.64552e-05,
1.23569,0.353445,1.01495,0.108651,2.69784,2.1036,0.271448,1.26292,1.26283,9.07737e-05,
1.24617,0.343196,1.01979,0.109291,2.70767,2.15807,0.279145,1.26327,1.26322,4.29015e-05,
1.25664,0.332882,1.0245,0.109918,2.71752,2.21498,0.287179,1.26355,1.26355,4.38743e-06,
1.26711,0.322502,1.02911,0.110532,2.72737,2.2745,0.295574,1.26377,1.26382,5.10879e-05,
1.27758,0.312059,1.03359,0.111134,2.73724,2.33683,0.30436,1.26394,1.26404,9.71951e-05,
1.28805,0.301582,1.03805,0.111743,2.74711,2.40206,0.313635,1.26431,1.26423,7.99878e-05,
1.29852,0.291042,1.0424,0.11234,2.75698,2.47054,0.323365,1.26462,1.26458,3.20532e-05,
1.309,0.280441,1.04662,0.112923,2.76687,2.54255,0.333586,1.26487,1.26488,1.52659e-05,
1.31947,0.26978,1.05073,0.113494,2.77677,2.61837,0.34434,1.26506,1.26512,6.19645e-05,
1.32994,0.259061,1.05471,0.11405,2.78669,2.69834,0.355673,1.26519,1.2653,0.000108038,
1.34041,0.248308,1.05867,0.114615,2.79659,2.78264,0.367714,1.26552,1.26545,6.92226e-05,
1.35088,0.237498,1.0625,0.115166,2.80652,2.87185,0.380446,1.26579,1.26577,2.13612e-05,
1.36136,0.226631,1.06622,0.115702,2.81645,2.96643,0.393931,1.26601,1.26603,2.58524e-05,
1.37183,0.215711,1.06981,0.116226,2.8264,3.06689,0.408245,1.26616,1.26623,7.24134e-05,
1.3823,0.204756,1.07337,0.116756,2.83634,3.1736,0.423555,1.26651,1.26641,0.000104402,
1.39277,0.193748,1.0768,0.117272,2.8463,3.28743,0.439873,1.2668,1.26674,5.60985e-05,
1.40324,0.182688,1.08011,0.117774,2.85627,3.40914,0.457307,1.26703,1.26702,8.47016e-06,
1.41372,0.171577,1.0833,0.118262,2.86625,3.53961,0.47598,1.2672,1.26724,3.8478e-05,
1.42419,0.160418,1.08635,0.118735,2.87625,3.67985,0.496036,1.26731,1.2674,8.47417e-05,
1.43466,0.149226,1.08938,0.119215,2.88624,3.8307,0.517737,1.26762,1.26752,9.24164e-05,
1.44513,0.137986,1.09227,0.11968,2.89625,3.99381,0.541184,1.26786,1.26782,4.44523e-05,
1.4556,0.126701,1.09504,0.12013,2.90627,4.17077,0.566602,1.26805,1.26805,2.80389e-06,
1.46608,0.11537,1.09768,0.120565,2.91631,4.36347,0.594261,1.26818,1.26823,4.93479e-05,
1.47655,0.103998,1.10018,0.120986,2.92636,4.57415,0.624479,1.26825,1.26834,9.51756e-05,
1.48702,0.0925924,1.10265,0.121412,2.9364,4.80499,0.657748,1.26851,1.26842,8.24514e-05,
1.49749,0.0811457,1.10499,0.121824,2.94647,5.05965,0.694425,1.26871,1.26867,3.49674e-05,
1.50796,0.0696591,1.1072,0.122219,2.95654,5.34208,0.735075,1.26885,1.26886,1.17767e-05,
1.51844,0.0581345,1.10927,0.1226,2.96663,5.65717,0.780396,1.26894,1.26899,5.77769e-05,
1.52891,0.0465736,1.11121,0.122964,2.97674,6.011,0.831258,1.26897,1.26907,0.00010303,
1.53938,0.0349811,1.11312,0.123335,2.98684,6.41034,0.888875,1.26918,1.2691,7.51943e-05,
1.54985,0.0233535,1.11488,0.123689,2.99696,6.86576,0.954545,1.26934,1.26931,2.83311e-05,
1.56032,0.0116926,1.11652,0.124028,3.00709,7.39007,1.03011,1.26944,1.26945,1.77606e-05,
1.5708,-1.66928e-15,1.11801,0.12435,3.01724,8.00032,1.11801,1.26948,1.26954,6.30774e-05,
1.58127,-0.0117224,1.11937,0.124656,3.02741,8.71969,1.22159,1.26947,1.26958,0.000107616,
1.59174,-0.0234751,1.12069,0.124968,3.03757,9.57847,1.34555,1.26964,1.26957,7.13341e-05,
1.60221,-0.0352563,1.12187,0.125263,3.04775,10.6243,1.49645,1.26975,1.26973,2.52325e-05,
1.61268,-0.0470642,1.12292,0.125541,3.05794,11.9262,1.68421,1.26981,1.26983,2.00668e-05,
1.62316,-0.058897,1.12382,0.125803,3.06815,13.5915,1.92432,1.26981,1.26988,6.45605e-05,
1.63363,-0.0707531,1.12459,0.126048,3.07838,15.7977,2.24232,1.26976,1.26987,0.000108246,
1.6441,-0.0826378,1.12531,0.126298,3.0886,18.8523,2.68323,1.26989,1.26982,7.156e-05,
1.65457,-0.0945442,1.1259,0.126531,3.09884,23.3747,3.33584,1.26996,1.26994,2.63602e-05,
1.66504,-0.10647,1.12634,0.126747,3.10909,30.7595,4.40132,1.26998,1.27,1.80071e-05,
1.67552,-0.118415,1.12664,0.126945,3.11937,44.9865,6.45371,1.26995,1.27001,6.15391e-05,
1.68599,-0.130375,1.1268,0.127126,3.12966,83.7887,12.0508,1.26986,1.26997,0.000104234,
1.69646,-0.142363,1.12692,0.127312,3.13994,606.806,87.5137,1.26995,1.26987,7.65588e-05,
1.70693,-0.154365,1.12689,0.12748,3.15025,-115.524,-16.706,1.26998,1.26995,3.24001e-05,
